#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_002942.5	654	2012	+	19834571	dnaA	lpg0001	YP_094056.1	452	-	chromosome replication initiator DnaA
chr	NC_002942.5	2026	3129	+	19831569	-	lpg0002	YP_094057.1	367	-	DNA polymerase III beta chain
chr	NC_002942.5	3126	4187	+	19831570	-	lpg0003	YP_094058.1	353	-	DNA recombination and repair protein ATPase RecF
chr	NC_002942.5	4482	6902	+	19831571	gyrB	lpg0004	YP_094059.1	806	-	DNA gyrase subunit B
chr	NC_002942.5	7271	8317	-	19831572	-	lpg0005	YP_094060.1	348	-	peptidylarginine deiminase
chr	NC_002942.5	8314	10206	-	19831573	speA	lpg0006	YP_094061.1	630	-	arginine decarboxylase
chr	NC_002942.5	10226	11083	-	19831574	-	lpg0007	YP_094062.1	285	-	hydrolase
chr	NC_002942.5	11612	12871	-	19831575	-	lpg0008	YP_094063.1	419	-	hypothetical protein lpg0008
chr	NC_002942.5	13059	13316	+	19831576	hfq	lpg0009	YP_094064.1	85	-	host factor-I protein for bacteriophage Q beta replication
chr	NC_002942.5	13329	14588	+	19831577	-	lpg0010	YP_094065.1	419	-	GTP binding protein HflX
chr	NC_002942.5	14693	15163	-	19831578	resA	lpg0011	YP_094066.1	156	-	thiol-disulfide oxidoreductase
chr	NC_002942.5	15332	16909	-	19831579	-	lpg0012	YP_094067.1	525	-	hypothetical protein lpg0012
chr	NC_002942.5	17043	17894	+	19831580	-	lpg0013	YP_094068.1	283	-	pirin
chr	NC_002942.5	18331	19542	+	19831581	-	lpg0014	YP_094069.1	403	-	transmembrane protein
chr	NC_002942.5	19643	20716	+	19831582	-	lpg0015	YP_094070.1	357	-	multidrug resistance protein
chr	NC_002942.5	20676	21623	+	19831583	-	lpg0016	YP_094071.1	315	-	hypothetical protein lpg0016
chr	NC_002942.5	21596	22513	+	19831584	-	lpg0017	YP_094072.1	305	-	hypothetical protein lpg0017
chr	NC_002942.5	22497	23882	+	19831585	-	lpg0018	YP_094073.1	461	-	outer membrane efflux protein
chr	NC_002942.5	24111	25793	+	19831586	-	lpg0019	YP_094074.1	560	-	hemagglutinin/protease, zinc metalloprotease
chr	NC_002942.5	26016	26927	+	19831587	-	lpg0020	YP_094075.1	303	-	hypothetical protein lpg0020
chr	NC_002942.5	27119	27598	+	19831588	-	lpg0021	YP_094076.1	159	-	hypothetical protein lpg0021
chr	NC_002942.5	27595	29718	+	19831589	rlmL	lpg0022	YP_094077.1	707	-	23S rRNA m(2)G2445 methyltransferase
